"review_id","review_type","primary_route","comparison_route","similarity","evidence","review_status","recommended_action"
"thin-content-about","thin-content","/about","","","332 words; advisory floor 500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-pricing","thin-content","/pricing","","","236 words; advisory floor 300","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-book","thin-content","/book","","","250 words; advisory floor 300","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-contact","thin-content","/contact","","","74 words; advisory floor 300","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"risk-content-privacy-policy","contradictory-or-overlap-risk","/privacy-policy","","","2 images lack width/height; privacy consent statement conflicts with analytics loading before consent","owner-decision-required","Resolve the recorded A-01 risk before release."
"thin-content-services-dentists","thin-content","/services/dentists","","","663 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-ecommerce","thin-content","/services/ecommerce","","","714 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-estate-agents","thin-content","/services/estate-agents","","","718 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-fitness-coaches","thin-content","/services/fitness-coaches","","","714 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-gyms-fitness-studios","thin-content","/services/gyms-fitness-studios","","","660 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-hospitality","thin-content","/services/hospitality","","","788 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-physios-chiropractors","thin-content","/services/physios-chiropractors","","","664 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-salons-barbers","thin-content","/services/salons-barbers","","","720 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-services-trades","thin-content","/services/trades","","","732 words; advisory floor 800","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-blog-ai-appointment-reminders-uk-2026","thin-content","/blog/ai-appointment-reminders-uk-2026","","","1253 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-blog-ai-automation-failures-uk-smes-2026","thin-content","/blog/ai-automation-failures-uk-smes-2026","","","1422 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-blog-ai-guest-concierge-hotels-bbs-uk","thin-content","/blog/ai-guest-concierge-hotels-bbs-uk","","","1405 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"risk-content-blog-ai-lead-capture-uk-trades-2026","contradictory-or-overlap-risk","/blog/ai-lead-capture-uk-trades-2026","","","3 images lack width/height; search-intent overlap requires migration-owner decision","owner-decision-required","Resolve the recorded A-01 risk before release."
"thin-content-blog-ai-quote-follow-up-trades","thin-content","/blog/ai-quote-follow-up-trades","","","544 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"risk-content-blog-ai-quote-follow-up-trades","contradictory-or-overlap-risk","/blog/ai-quote-follow-up-trades","","","Google Analytics tag absent; 3 images lack width/height; search-intent overlap requires migration-owner decision","owner-decision-required","Resolve the recorded A-01 risk before release."
"thin-content-blog-ai-rebooking-journeys-salons-uk","thin-content","/blog/ai-rebooking-journeys-salons-uk","","","1362 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-blog-ai-receptionist-small-business-2026","thin-content","/blog/ai-receptionist-small-business-2026","","","1434 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-blog-ai-website-tools-uk-small-businesses-2026","thin-content","/blog/ai-website-tools-uk-small-businesses-2026","","","1481 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-blog-dental-intake-e-consent-automation-uk","thin-content","/blog/dental-intake-e-consent-automation-uk","","","1395 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"thin-content-blog-estate-agent-viewing-confirmations-uk","thin-content","/blog/estate-agent-viewing-confirmations-uk","","","1421 words; advisory floor 1500","editorial-review-required","Retain source copy; decide whether coverage is sufficient before release."
"risk-content-blog-quote-chase-automation-uk-trades-accepted-jobs-2026","contradictory-or-overlap-risk","/blog/quote-chase-automation-uk-trades-accepted-jobs-2026","","","3 images lack width/height; search-intent overlap requires migration-owner decision","owner-decision-required","Resolve the recorded A-01 risk before release."
"risk-content-blog-quote-follow-up-automation-uk-trades-2026","contradictory-or-overlap-risk","/blog/quote-follow-up-automation-uk-trades-2026","","","3 images lack width/height; search-intent overlap requires migration-owner decision","owner-decision-required","Resolve the recorded A-01 risk before release."
