placeholder_id,route_scope,proof_category,claim_or_asset,evidence_required,approval_owner,status,safe_interim_language,prohibited_until_approved,consumer
P-001,sitewide,Business identity and legal name,Company registration or legal trading identity,Official registry documents; owner confirmation,Owner,open,Silverstone AI,Do not imply a legal entity that is not verified,H-04 and human publication review
P-002,home/about/contact,London address and service area,"4 Deacon Street, London SE17 1GE and UK service coverage",Address evidence; occupancy/use permission; owner sign-off,Owner,open,"Based in London, subject to verification",Do not use LocalBusiness schema or map pin until approved,H-04 and human publication review
P-003,about,Founder and team,"Names, roles, biographies, credentials and team size","Identity, role, biography source, image permission",Owner,open,Meet the person responsible for your project,Do not imply a larger team or credentials,H-04 and human publication review
P-004,home/services,Client logos,Any logo strip or named client,Written permission; engagement evidence; usage scope and expiry,Owner/Legal,open,Remove the logo area,No logos without permission,H-04 and human publication review
P-005,sitewide,Testimonials,"Quote, name, role and company",Original communication; permission; context; date; material connection,Owner/Legal,open,No testimonial block,"No invented, anonymous or edited testimonial",H-04 and human publication review
P-006,sitewide,Case studies,"Problem, work, result and client identity",Client permission; scope records; baseline; dates; attribution; caveats,Delivery/Owner,open,Use a labelled fictional demonstration,Do not present demos as client work,H-04 and human publication review
P-007,home/industry,Performance statistics,"Hours saved, response time, conversion, no-show or revenue figures",Measurement method; baseline; sample; period; source; approver,Delivery/Analytics,open,Describe the intended outcome without a number,No counters or numerical result claims,H-04 and human publication review
P-008,sitewide,Rankings and superlatives,"Best, leading, top-rated or first-place statements",Independent methodology and current result; legal review,Owner/Legal,open,"Practical, focused or specialist where accurate",No comparative superiority claims,H-04 and human publication review
P-009,sitewide,Guarantees or assurances,"Revenue, lead, ranking, delivery or performance promise",H-04 approved assurance directive; legal review; conditions,H-04 owner,open,"Clear scope, review points and support commitments",No outcome guarantee,H-04 and human publication review
P-010,voice/receptionist,Availability and coverage,Always-on or out-of-hours coverage,"Architecture, provider SLA, monitoring, fallback and contract",Delivery,open,Configured for approved business-hour and out-of-hours flows,No uninterrupted-availability claim,H-04 and human publication review
P-011,voice/receptionist,Response speed,Instant or specific response-time claim,Measured production logs; definition; percentile; period,Delivery/Analytics,open,Designed to acknowledge approved enquiries promptly,No unmeasured timing claim,H-04 and human publication review
P-012,automation,Time or cost savings,"Efficiency, headcount or ROI statements",Baseline process study; cost model; measured period; client approval,Delivery/Finance,open,Reduce repeated manual steps,No savings percentage or payback claim,H-04 and human publication review
P-013,sitewide,Security and compliance,"Secure, compliant, encrypted, GDPR-compliant",System architecture; vendor terms; DPIA/legal review; test evidence,Security/Legal,open,"Designed with access, retention and review controls",No blanket compliance certification,H-04 and human publication review
P-014,regulated industries,Clinical or regulated capability,"Healthcare, dental or other professional-sector automation",Professional review; data-flow map; escalation policy; controller approval,Client professional lead/Legal,open,Non-clinical administrative workflow support,"No diagnosis, triage or professional advice",H-04 and human publication review
P-015,service pages,Technology integrations,Works with named tools and logos,Tested integration; API terms; current support; trademark-use review,Delivery/Legal,open,Can be assessed against your existing systems,No implied partnership,H-04 and human publication review
P-016,pricing,"Prices, packages and discounts","Setup fee, recurring price, bundle or promotional price",Approved commercial schedule; VAT status; inclusions; terms; expiry,Owner/Finance,open,Pricing follows a defined scope,No public figure before H-03 approval,H-04 and human publication review
P-017,web/app,Portfolio screenshots,Website or app examples,"Ownership, client permission, live URL, contribution and date",Delivery/Owner,open,Use an approved internal demonstration,No third-party work presented as Silverstone work,H-04 and human publication review
P-018,content,Content performance,"Traffic, leads, engagement or publishing volume",Analytics access; attribution method; period; client permission,Content/Analytics,open,Show approved writing samples without outcome claims,No unsupported performance attribution,H-04 and human publication review
P-019,about/home,"Years, project count or customer count",Experience and volume figures,"Contracts, invoices or project register; date range; definition",Owner,open,Describe the approach without a number,No cumulative count without records,H-04 and human publication review
P-020,contact/footer,"Phone, email and social profiles",Published contact details and profile ownership,Owner confirmation; live tests; access owner,Owner,open,Use only verified contact channels,No stale or inaccessible contact route,H-04 and human publication review
