state,viewport,route,gate,h1_before,h1_after,intro_title_tag_before,intro_title_tag_after,footer_col_tags_before,footer_col_tags_after,article_grid_tags_before,article_grid_tags_after,lvd_empty_tag_before,lvd_empty_tag_after,consent_modal_h1_before,consent_modal_h1_after,consent_role_after,consent_labelledby_after,viewport_png_sha1_before,viewport_png_sha1_after,viewport_png_identical
desktop/home/intro,desktop,home,intro,1,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,8fc5767facc1,42cbc5ee4ce9,no
desktop/home/body,desktop,home,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,a2f2ec854b2d,a2f2ec854b2d,yes
desktop/svc-receptionists/intro,desktop,svc-receptionists,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,0,0,-,-,913cb02b6731,913cb02b6731,yes
desktop/svc-receptionists/body,desktop,svc-receptionists,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,1,0,dialog,stcm-modal-title,e08c97a96228,e08c97a96228,yes
desktop/svc-voice/intro,desktop,svc-voice,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,0,0,-,-,fb61297db8b2,fb61297db8b2,yes
desktop/svc-voice/body,desktop,svc-voice,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,H4,H3,1,0,dialog,stcm-modal-title,e3295b91be30,b3d136a502b0,no
desktop/about/intro,desktop,about,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,85caa3823d08,85caa3823d08,yes
desktop/about/body,desktop,about,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,e8d157f9c3b2,85a0d5b5fd1a,no
desktop/blog/intro,desktop,blog,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,b4c82a4289ed,b4c82a4289ed,yes
desktop/blog/body,desktop,blog,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,690c36260726,eb251498d938,no
desktop/article/intro,desktop,article,intro,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,H4|H4|H4|H4|H4|H4|H4,H3|H3|H3|H3|H3|H3|H3,-,-,1,0,dialog,stcm-modal-title,6c953aa645d3,6c953aa645d3,yes
desktop/article/body,desktop,article,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,H4|H4|H4|H4|H4|H4|H4,H3|H3|H3|H3|H3|H3|H3,-,-,1,0,dialog,stcm-modal-title,7f50b1c77ebb,f00e9a6caae9,no
desktop/book/intro,desktop,book,intro,2,1,H1,DIV,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,0,0,-,-,ee4b7246e6f6,ee4b7246e6f6,yes
desktop/book/body,desktop,book,body,2,1,-,-,A|H2|H2|H2,A|SPAN|SPAN|SPAN,-,-,-,-,1,0,dialog,stcm-modal-title,2db124a524a0,008fda8c4288,no
