route,route_status,page_type,title,meta_description,h1,breadcrumb,recommended_schema,canonical,robots,primary_query_theme,proof_or_review_gate
/,current canonical,core,Home | Silverstone AI,"Web, app, content and AI workflow services for UK businesses, designed around clear problems, connected systems and human oversight.","Practical technology that helps small teams respond, deliver and grow",Home,Organization | WebSite | WebPage,https://silverstone-ai.com,"index, follow",digital services and AI automation UK,"Address, pricing, action and organization fields require owner/legal approval"
/about,current canonical,core,About Silverstone AI | Practical Digital Systems,"Learn how Silverstone approaches websites, apps and AI workflows with clear scope, human oversight and evidence-led delivery.","Practical systems, clearly explained",Home › About,AboutPage | Organization | BreadcrumbList,https://silverstone-ai.com/about,"index, follow",about Silverstone AI,"Address, pricing, action and organization fields require owner/legal approval"
/services,current canonical,core,Digital Services for UK Businesses | Silverstone AI,"Explore Silverstone’s web, app, content and AI services for UK businesses, with clear scopes, safeguards and practical next steps.",Services built around real business workflows,Home › Services,CollectionPage | ItemList | BreadcrumbList,https://silverstone-ai.com/services,"index, follow",digital services UK,"Address, pricing, action and organization fields require owner/legal approval"
/pricing,current canonical,core,How Pricing Works | Silverstone AI,"Understand how Silverstone scopes web, app, content and AI workflow projects before an approved proposal is prepared.",Pricing starts with a defined scope,Home › Pricing,WebPage | BreadcrumbList,https://silverstone-ai.com/pricing,"index, follow",AI automation pricing UK,"Address, pricing, action and organization fields require owner/legal approval"
/blog,current canonical,core,Practical AI and Digital Guides | Silverstone AI,"Read practical UK guides on websites, AI reception, voice agents, automation, content and workflow design.",Practical guides for better digital decisions,Home › Insights,CollectionPage | ItemList | BreadcrumbList,https://silverstone-ai.com/blog,"index, follow",AI automation guides UK,"Address, pricing, action and organization fields require owner/legal approval"
/book,current canonical,core,Book a Discovery Call | Silverstone AI,"Book a 30-minute discovery call to discuss a website, app, content or AI workflow problem with Silverstone.",Book a discovery call,Home › Book,WebPage | BreadcrumbList,https://silverstone-ai.com/book,"index, follow",book AI automation discovery call,"Address, pricing, action and organization fields require owner/legal approval"
/contact,current canonical,core,Contact Silverstone AI | London and UK,"Contact Silverstone to discuss web design, app development, content, AI reception, voice agents or workflow automation.",Contact Silverstone,Home › Contact,ContactPage | Organization | BreadcrumbList,https://silverstone-ai.com/contact,"index, follow",contact Silverstone AI,"Address, pricing, action and organization fields require owner/legal approval"
/privacy-policy,current canonical,core,Privacy Policy | Silverstone AI,"Read how Silverstone handles personal data, enquiries, website use and relevant data-protection rights.",Privacy Policy,Home › Privacy Policy,WebPage | BreadcrumbList,https://silverstone-ai.com/privacy-policy,"index, follow",Silverstone privacy policy,"Address, pricing, action and organization fields require owner/legal approval"
/industries,proposed new route,hub,Industries We Support | Silverstone AI,"Explore practical website, app and AI workflow ideas for nine UK business sectors, with specific use cases and safeguards.",Technology shaped around your operating reality,Home › Industries,CollectionPage | ItemList | BreadcrumbList,https://silverstone-ai.com/industries,"index, follow",AI services by industry UK,
/how-we-work,proposed new route,core,How Silverstone Works | Discovery to Delivery,"See how Silverstone defines, designs, builds and reviews websites, apps and AI workflows for UK businesses.",A clear route from problem to working system,Home › How we work,WebPage | BreadcrumbList,https://silverstone-ai.com/how-we-work,"index, follow",AI project process UK,
/services/web-design-development,proposed new route,service,Web Design & Development for UK Businesses | Silverstone AI,"Conversion-led websites that explain the offer clearly, work across devices and create a practical path from visit to enquiry.",Web Design & Development built around a clear business problem,Home › Services › Web Design & Development,Service | WebPage | BreadcrumbList,https://silverstone-ai.com/services/web-design-development,"index, follow",web design and development for UK small businesses,Service capability and portfolio evidence require approval
/services/app-development,proposed new route,service,Custom App Development for UK Businesses | Silverstone AI,"Focused web and mobile applications designed around a real operational or customer problem, not a feature wish list.",Custom App Development built around a clear business problem,Home › Services › Custom App Development,Service | WebPage | BreadcrumbList,https://silverstone-ai.com/services/app-development,"index, follow",custom app development for UK businesses,Service capability and portfolio evidence require approval
/services/ai-voice-agents,proposed new route,service,AI Voice Agents for UK Businesses | Silverstone AI,"Conversational phone agents that handle defined call flows, capture information and take approved actions with clear human escalation.",AI Voice Agents built around a clear business problem,Home › Services › AI Voice Agents,Service | WebPage | BreadcrumbList,https://silverstone-ai.com/services/ai-voice-agents,"index, follow",AI voice agents for UK businesses,Service capability and portfolio evidence require approval
/services/ai-receptionists,proposed new route,service,AI Receptionists for UK Businesses | Silverstone AI,"A practical front-desk layer for common enquiries, message-taking, routing and booking, configured around your operating rules.",AI Receptionists built around a clear business problem,Home › Services › AI Receptionists,Service | WebPage | BreadcrumbList,https://silverstone-ai.com/services/ai-receptionists,"index, follow",AI receptionist for UK small businesses,Service capability and portfolio evidence require approval
/services/content-creation,proposed new route,service,Content Creation & Repurposing for UK Businesses | Silverstone AI,"A governed content system that turns approved expertise into useful website, email and social material without inventing proof.",Content Creation & Repurposing built around a clear business problem,Home › Services › Content Creation & Repurposing,Service | WebPage | BreadcrumbList,https://silverstone-ai.com/services/content-creation,"index, follow",content creation and repurposing for UK businesses,Service capability and portfolio evidence require approval
/services/ai-automation,proposed new route,service,AI Automation & Agent Workflows for UK Businesses | Silverstone AI,"Connected workflows and task-focused agents that move information, trigger actions and keep people in control of exceptions.",AI Automation & Agent Workflows built around a clear business problem,Home › Services › AI Automation & Agent Workflows,Service | WebPage | BreadcrumbList,https://silverstone-ai.com/services/ai-automation,"index, follow",AI automation agency UK and AI agent workflows,Service capability and portfolio evidence require approval
