current_route,proposed_route,recommended_action,timing,reason,evidence_basis,risk,redirect_code,canonical_action,internal_link_action,approval_gate
/,/,preserve,Phase A,Established canonical and route role,A-01 route inventory,Low if content and route remain stable,,self-canonical,Retain/update internal links,Release crawl
/about,/about,preserve,Phase A,Established canonical and route role,A-01 route inventory,Low if content and route remain stable,,self-canonical,Retain/update internal links,Release crawl
/services,/services,preserve,Phase A,Established canonical and route role,A-01 route inventory,Low if content and route remain stable,,self-canonical,Retain/update internal links,Release crawl
/pricing,/pricing,preserve_and_rewrite,Phase A,Existing canonical; pricing claims need governance,A-01 route inventory; H-03 dependency,Commercial inconsistency,,self-canonical,Keep links but change label to How pricing works,H-03 and owner approval
/blog,/blog,preserve,Phase A,Established canonical and route role,A-01 route inventory,Low if content and route remain stable,,self-canonical,Retain/update internal links,Release crawl
/book,/book,preserve,Phase A,Established canonical and route role,A-01 route inventory,Low if content and route remain stable,,self-canonical,Retain/update internal links,Release crawl
/contact,/contact,preserve,Phase A,Established canonical and route role,A-01 route inventory,Low if content and route remain stable,,self-canonical,Retain/update internal links,Release crawl
/privacy-policy,/privacy-policy,preserve,Phase A,Established canonical and route role,A-01 route inventory,Low if content and route remain stable,,self-canonical,Retain/update internal links,Release crawl
/services/estate-agents,/industries/estate-agents,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/estate-agents; Phase B: /industries/estate-agents,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/services/hospitality,/industries/hospitality,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/hospitality; Phase B: /industries/hospitality,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/services/salons-barbers,/industries/salons-barbers,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/salons-barbers; Phase B: /industries/salons-barbers,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/services/trades,/industries/trades,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/trades; Phase B: /industries/trades,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/services/ecommerce,/industries/ecommerce,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/ecommerce; Phase B: /industries/ecommerce,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/services/physios-chiropractors,/industries/physios-chiropractors,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/physios-chiropractors; Phase B: /industries/physios-chiropractors,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/services/dentists,/industries/dentists,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/dentists; Phase B: /industries/dentists,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
/services/gyms-fitness-studios,/industries/gyms-fitness-studios,preserve_then_migrate_one_to_one,Phase A preserve; Phase B optional move,Separate service capability from industry context while protecting current equity,A-01 route inventory; IA recommendation; Google site-move guidance,Ranking fluctuation or redirect error if moved with rebuild,301 in Phase B,Phase A: /services/gyms-fitness-studios; Phase B: /industries/gyms-fitness-studios,Phase A use current; Phase B update all to proposed,"Search Console, analytics, backlink, crawl and owner approval"
