card_id,category,title,severity,auto_fixable,quick_win,themes,root_cause_groups,status,confidence,n_affected_urls,affected_paths,estimated_impact,exact_dup_group,text_hash,stage,why,recommendation
1,AccessibilityWarning,Fix contrast issues on 2 pages to improve readability,Easy,False,True,READABILITY|CONTRAST,RC-07|RC-08,confirmed-scanner,high,2,/|/services/ai-receptionists,Could improve accessibility score and reduce readability friction on key marketi,,e1eeb9b37230900f,2,"2 pages have contrast issues, which can hurt accessibility and make your AI services harder to read for prospective customers.",Review the text and background color pairings on the homepage and AI receptionists page. Adjust colors until they meet WCAG AA contrast ratios for normal text and UI elements. Re-test the updated pages in your browser before publishing the changes to your CMS.
2,ContentWarning,Expand 4 thin pages that are under 1.5K characters,Medium,False,False,FAQ|INTERNAL_LINK,RC-05|RC-07,obsolete-advice,high,3,/|/services/ai-receptionists|/services/ai-voice-agents,Could improve rankings and engagement on service pages by giving search engines ,,bac01e78686147e6,3,4 thin pages may be limiting organic relevance and buyer confidence for a technology company selling AI services worldwide.,"Add use cases, process steps, and FAQ sections to the homepage and service pages. Include proof points like implementation timelines, integrations, and outcomes for AI receptionist and voice-agent offerings. Cross-link these pages to relevant blog posts and service pages in your CMS."
3,Seo,Improve schema markup coverage for silverstone-ai.com,Medium,False,False,SCHEMA|FAQ|DATES,RC-02|RC-05,obsolete-advice,high,0,,+15 pts,,ce340c3801bc97b6,3,"Better schema markup helps search engines understand content, potentially increasing CTR and visibility for a global AI audience.","Add Organization schema to the homepage and contact page.Include fields like name, URL, logo, and social profiles. Use JSON-LD with @context 'https://schema.org', @type 'Organization'. Add Article schema to blog posts.Include headline, datePublished, dateModified, author, and image. Use JSON-LD with @type 'Article' for each blog post. Add FAQ schema to relevant pages (e.g., FAQs, support).Use Question and Answer properties. Wrap FAQ content in FAQPage structure."
4,Seo,Add meta description and expand content on /ai-voice-agents,Medium,True,False,META_DESC|SCHEMA|FAQ|THIN|CITATION|VALUEPROP,RC-01|RC-02|RC-05|RC-07,obsolete-advice,high,1,/services/ai-voice-agents,+25 pts,,3a15b34b53916a22,3,"Service pages for AI voice agents target high-intent B2B buyers; a missing meta description reduces CTR by an estimated 8-12%, and thin content (<200 words) may lead to poor rankings and lower conversion rates for queries like 'AI voice agent development UK'.","Write a compelling meta description (140-160 characters) that includes target keywords and a clear value proposition.Focus on benefits like 'controlled call flows', 'real-time transcription', and 'production-grade' to match the page content. AI Voice Agent Development UK | Silverstone AI - Build production-grade voice agents with real-time transcription and controlled call flows. Live demo available. Contact us today. Expand body content to at least 800 words, adding sections on features, benefits, use cases, and technical details.Current content is just a demo script. Add sections like 'What "
5,Seo,Add meta description and TL;DR summary box to /ai-voice-agents,Easy,False,False,META_DESC|THIN|TLDR,RC-01|RC-07,recommendation-only,high,1,/services/ai-voice-agents,+30 pts,,ac0e6c59a8b856ee,3,"Technology/AI service page missing meta description loses 8-12% CTR on commercial queries. 88 words insufficient for ranking; AI overviews ignore pages without TL;DR summaries, reducing visibility to 20%+ of search users.","Write a 140-160 character meta description summarizing the live demo and production-grade voice agent service.Include key terms: AI voice agent, demo, production, call flow. Add a 'Key Takeaways' or 'TL;DR' section near the top (or as a sidebar/box) with 3-4 bullet points summarizing the page content.Example: '• Test our live AI voice agent in your browser. • Production-grade with ElevenLabs real-time processing. • Marketed to UK businesses. • Covers receptionist scenarios & off-script handling.' Expand body content to at least 500 words. Add sections on features, benefits, use cases, and tech"
6,Seo,Add meta description and 'Key Takeaways' to salon automation article,Easy,False,False,META_DESC|SCHEMA|FAQ|TLDR,RC-01|RC-02|RC-05|RC-07,obsolete-advice,high,1,/blog/salon-automation-salons-barbers-first-should,+25 pts,,3a6183ed4f5514cd,3,"For a global tech audience, this article could drive organic traffic from UK salon owners searching for automation advice. Missing meta description reduces CTR by an estimated 8-12% on search results. Lack of a key takeaways section limits visibility in AI overviews and featured snippets, which are growing traffic sources in the AI/ML niche.","Add a meta description of 140-160 characters that summarizes the article and includes relevant keywords like 'UK salons', 'barbers', 'automation priority', and 'friction reduction'. Insert a 'Key Takeaways' or 'TL;DR' section at the top of the article, right after the introduction paragraph, listing 3-5 bullet points summarizing the main recommendations. Add FAQ or structured data (FAQ schema) to appear in rich results, using common questions from salon owners about automation."
7,Content,Add meta description and specific data to gym automation article,Easy,False,False,META_DESC|H1_DUPLICATE|COOKIE_H1,RC-01|RC-03|RC-04,confirmed-runtime,high,1,/blog/gym-automation-operating-model,+15 pts,,fcb1e81782832128,2,"Without a meta description, search snippets are auto-generated, likely reducing CTR by 8-12%. The lack of quantified claims (e.g., percentages, benchmarks) hurts credibility for UK fitness business operators, who are likely to compare options. This can lead to lower organic traffic and fewer leads from the blog.","Write a compelling meta description of 140-160 characters summarizing the article's value, including a key statistic or benefit.Focus on 'UK fitness businesses', 'automation', and 'leakage' to align with target audience. Learn how UK gyms lose 20-30% of leads through slow follow-up. Discover a practical automation operating model to boost trial bookings and retention. Add specific data points throughout the article to support claims.For instance, replace 'Most gyms lose revenue' with 'Studies show gyms lose 20-30% of leads due to response times over 5 minutes'. Mention industry benchmarks like"
8,Content,Add publication date and fix H1 on hospitality article,Easy,True,False,H1_DUPLICATE|SCHEMA|DATES|COOKIE_H1|TITLE_TAG,RC-02|RC-03|RC-04|RC-06,confirmed-3p-mutation,high,1,/blog/hospitality-automation-smes-build-first,+10 pts,,8fb648d6d3c3fa5d,1,"Missing date reduces trust for time-sensitive B2B content; wrong H1 confuses search engines and users, leading to lower CTR and potential deindexing.","Update the H1 to match the article title: 'Hospitality Automation: What UK SMEs Should Build First'.Change H1 in the page template or content management system to the page title (same as <title> tag). Ensure no other H1 exists. Change from '<h1>Customize your cookie preferences</h1>' to '<h1>Hospitality Automation: What UK SMEs Should Build First</h1>'. Add a visible publication date near the top of the content, ideally in a <time> element.Insert line like 'Published: 18 July 2026' after the H1, using structured data. <p>Published: <time datetime=""2026-07-18"">18 July 2026</time></p> Ensure the"
9,Content,Add data-driven claims and statistics to /blog/small-business-web-development,Medium,False,False,PERF,RC-08,unverified,medium,1,/blog/small-business-web-development,+12 pts,,42cb2edf6cd9c2a3,3,"For a tech/AI site targeting worldwide small business owners, generic claims lose trust and search visibility. AI overviews and voice assistants favor pages with citable data, reducing referral traffic by up to 30% for authoritative queries.","Add a statistic about UK small business website conversion rates near the intro (e.g., 'According to UK Web Design Survey 2024, the average conversion rate for small business sites is 2.35%, but top performers achieve 5%+'). Include a data point about mobile usage: 'Over 70% of UK small business website visitors use mobile devices (Statista, 2024).' Replace vague 'friction-free mobile experience' with this. Add a quantified claim about page speed impact: 'A 1-second delay in load time reduces customer satisfaction by 16% (Google/SOASTA research).' Integrate into the section on avoiding clutter"
10,Content,Add article schema and structured data to blog page,Easy,True,False,H1_DUPLICATE|SCHEMA|FAQ|DATES|COOKIE_H1|TITLE_TAG,RC-02|RC-03|RC-04|RC-05|RC-06,confirmed-3p-mutation,high,1,/blog/trades-websites-ai-automation,+15 pts,,20e114463592a609,1,"Without structured data, search engines cannot generate rich snippets (e.g., article headline, FAQ expandable results). This reduces click-through rates for informational queries by an estimated 10-20%, especially for AI/automation topic queries where competitor articles likely have schema.","Add JSON-LD Article schema to the page head. Include headline, author, publisher, datePublished, dateModified, image (if any). Use the page title and H1 as headline. Add FAQ schema for the Q&A sections in the H2s (e.g., 'What to take from this article', 'What to build first') or wrap them in FAQPage schema to enable rich results. Ensure the cookie consent banner does not override or strip schemas. Test with Google Rich Results Test after implementation."
11,Content,Add meta description and citations to hospitality automation article,Easy,False,False,META_DESC|H1_DUPLICATE|THIN|CITATION|VALUEPROP,RC-01|RC-04|RC-07,confirmed-runtime,high,1,/blog/hospitality-automation-smes-build-first,+15 pts,,332321d44e22a14f,2,"Missing meta description reduces organic CTR by 8-12% for informational queries. Zero citations undermines E-E-A-T, hurting ranking potential for competitive hospitality automation queries. The mismatched H1 may confuse search engines and users, further reducing engagement.","Write a compelling meta description of 140-160 characters that includes target keywords and a value proposition.Include 'UK SMEs', 'hospitality automation', and a benefit like 'reduce missed calls' or 'improve bookings'. Discover the first automation steps for UK hospitality SMEs: reduce missed calls, streamline bookings, and keep human control. Practical AI stack for small businesses. Change the H1 from 'Customize your cookie preferences' to a relevant headline matching the article topic.Update the H1 tag in the page template or content editor. Suggested: 'Hospitality Automation: What UK SMEs"
12,Content,Add structured data (JSON-LD) to /blog/small-business-web-development,Easy,True,False,SCHEMA|FAQ|DATES,RC-02|RC-05,obsolete-advice,high,1,/blog/small-business-web-development,+20 pts,,4a1e240c678ac41d,3,"For a technology/AI site targeting UK small businesses, structured data can increase CTR by 10-30% via rich snippets (e.g., FAQ, HowTo). Missing it reduces organic visibility for commercial-intent queries.","Add Article JSON-LD in the <head> or body via a microdata/JSON-LD plugin or inline script.Use schema.org/Article with properties: headline, datePublished, author, description, image (if any). {""@context"":""https://schema.org"",""@type"":""Article"",""headline"":""Web Design & Development for UK Small Businesses"",""description"":""..."",""datePublished"":""2026-07-10"",""author"":{""@type"":""Organization"",""name"":""Silverstone AI""}} Consider adding FAQPage schema if there are Q&A sections. The article includes implicit questions like 'What a high-performing small business website is really doing'.Wrap each Q&A pair i"
13,Content,Add JSON-LD structured data (Article schema) to /blog/gym-automation-operating-model,Easy,True,False,SCHEMA|DATES,RC-02,refuted-live,high,1,/blog/gym-automation-operating-model,+20 pts,,8f60a5f1f1abecea,3,"Articles without structured data miss out on rich results (e.g., author, date, read time) that can increase CTR by up to 30% for informational queries. For a tech blog targeting UK fitness businesses, this reduces visibility and authority signals.","Add Article schema in JSON-LD format to the <head> of the page.Include properties: @context, @type (Article), headline, author, datePublished, dateModified, image (if any), description, publisher. Ensure the schema is validated using Google's Rich Results Test after deployment."
14,Content,Add meta description and external citations to gym freeze article,Easy,False,False,META_DESC|H1_DUPLICATE|CITATION,RC-01|RC-04|RC-07,confirmed-runtime,high,1,/blog/gym-membership-freeze-automation-myths,+15 pts,,a44316ed4af7c6f5,2,"Gym operators searching for freeze automation trust authoritative content. Missing meta lowers CTR ~10%; no citations reduce E-E-A-T, hurting ranking for UK-specific queries.","Write a meta description (140-160 chars) summarizing automation benefits and UK context.Include keywords: gym membership freeze automation UK, practical automation. Add external citations: link to UK ASA guidelines on billing, CIMSPA membership standards, and a case study from a UK gym operator. Fix H1 to match article topic: 'Gym Membership Freeze Automation Myths for UK Gyms'."
15,Content,"Fix heading hierarchy: missing H1 matches page topic, reduce redundant H2s",Easy,False,False,H1_DUPLICATE|HEADING_GENERIC|READABILITY|TITLE_TAG,RC-04|RC-06|RC-07,confirmed-3p-mutation,high,1,/blog/small-business-web-development,+15 pts,,e61d23b13b9b1975,1,"Proper heading hierarchy improves readability and SEO. For a tech/AI audience, clear structure builds authority and reduces bounce rate. Misaligned H1 likely causes search engines to misinterpret page topic, reducing ranking potential for key terms like 'small business web design UK'.","Set the H1 to a descriptive title matching the page content, e.g. 'Web Design & Development for UK Small Businesses' (from the title tag). Remove or demote navigation-related H2s ('Services', 'Industries', 'Company', 'ContinueExploring') to lower levels (e.g., H4) or convert to list items. Keep only article-section H2s. Ensure H2s follow a logical order: Introduction, What a high-performing..., Start with the operating model..., etc."
16,Content,Fix heading hierarchy and missing meta description on gym-automation article,Easy,True,False,META_DESC|H1_DUPLICATE|HEADING_GENERIC|TITLE_TAG,RC-01|RC-04|RC-06,confirmed-3p-mutation,high,1,/blog/gym-automation-operating-model,+15 pts,,34ba5daa4085b249,1,"For a UK fitness business targeting gym operators, a missing meta description and broken H1 can lower CTR by 8-15%. The cookie-related H1 confuses search engines and users about the page topic, potentially losing organic traffic from high-intent queries.","Set the H1 to 'Gym Automation for UK Fitness Businesses' to match the page title and content focus. Ensure H2s follow a logical hierarchy: introduction, problem statement, automation priorities, operating model, tech stack, hiring advice, next steps. Add a meta description of 140-160 characters summarizing the article's value for UK gym operators."
17,Content,Add meta description and fix H1 to article topic title,Easy,True,False,META_DESC|H1_DUPLICATE,RC-01|RC-04,confirmed-runtime,high,1,/blog/hospitality-automation-smes-build-first,+15 pts,,4295e6c00e50dd31,2,"Article pages targeting hospitality AI queries rely on clear titles and snippets to attract clicks. A misaligned H1 and missing meta can reduce organic CTR by 10-15%, especially for an informative article targeting UK SMEs.","Add a meta description of 140-160 characters that summarizes the article's value for UK hospitality SMEs.Include keywords like 'hospitality automation', 'UK SMEs', 'guest friction', and 'practical stack' to match search intent. Change the H1 from 'Customize your cookie preferences' to the article title or a close variant.Ensure the H1 accurately reflects the main topic: e.g., 'Hospitality Automation: What UK SMEs Should Build First' or a compelling alternative."
18,Content,Add Article & FAQ schema to hospitality automation blog post,Easy,True,False,META_DESC|H1_DUPLICATE|SCHEMA|FAQ|DATES|TITLE_TAG,RC-01|RC-02|RC-04|RC-05|RC-06,confirmed-3p-mutation,high,1,/blog/hospitality-automation-smes-build-first,+20 pts,,461e148ba063ef9a,1,"Without Article or FAQ schema, search engines may not display rich results (e.g., headline, image, author, FAQ accordion) in SERPs, potentially reducing CTR by 5-10% for informational queries from UK hospitality SMEs.","Add JSON-LD Article schema to the page <head>.Include properties: @context, @type, headline, author (Silverstone AI), datePublished, dateModified, image (if any), description (meta description needed first). If FAQ sections persist (e.g., 'What to take from this article', 'Where AI reception...'), add FAQPage schema with mainEntity array.Wrap question-answer pairs from the 'What to take' list or 'High-value starting points' into Question/Answer schema. Fix the H1 to match the page title (article title) instead of 'Customize your cookie preferences'.Change H1 from 'Customize your cookie prefere"
