id,theme,foreground_token,foreground_hex,background_token,background_hex,intended_use,required_ratio,computed_ratio,status,restriction_or_note,source
CM-001,light,text.primary,#39454D,surface.canvas,#FFFFFF,normal text,4.5,9.85,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-002,light,text.secondary,#43555D,surface.canvas,#FFFFFF,normal text,4.5,7.79,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-003,light,text.muted,#66747B,surface.canvas,#FFFFFF,normal text,4.5,4.83,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-004,light,text.link,#246B74,surface.canvas,#FFFFFF,normal text,4.5,6.12,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-005,light,action.primary-fg,#FFFFFF,action.primary-bg,#39454D,button text,4.5,9.85,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-006,light,action.primary-fg,#FFFFFF,action.primary-hover-bg,#43555D,button text,4.5,7.79,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-007,light,action.accent-fg,#FFFFFF,action.accent-bg,#246B74,button text,4.5,6.12,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-008,light,border.default,#77858B,surface.canvas,#FFFFFF,required UI boundary,3.0,3.81,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-009,light,focus.ring,#39454D,surface.canvas,#FFFFFF,focus indicator,3.0,9.85,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-010,dark,text.primary,#FFFFFF,surface.subtle,#39454D,normal text,4.5,9.85,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-011,dark,text.secondary,#E9EAEF,surface.subtle,#39454D,normal text,4.5,8.20,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-012,dark,text.muted,#C4C7CC,surface.subtle,#39454D,normal text,4.5,5.81,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-013,dark,text.link,#5EC5D0,surface.subtle,#39454D,normal text,4.5,4.86,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-014,dark,action.primary-fg,#39454D,action.primary-bg,#5EC5D0,button text,4.5,4.86,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-015,dark,border.default,#A0A4AB,surface.subtle,#39454D,required UI boundary,3.0,3.94,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-016,dark,focus.ring,#FFFFFF,surface.subtle,#39454D,focus indicator,3.0,9.85,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-017,light,state.success-fg,#246B4A,surface.canvas,#FFFFFF,status text,4.5,6.41,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-018,light,state.warning-fg,#7A5600,surface.canvas,#FFFFFF,status text,4.5,6.65,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
CM-019,light,state.danger-fg,#A33A3A,surface.canvas,#FFFFFF,error text,4.5,6.51,PASS,Approved for stated use when actual rendered colours match.,S2/S3/S4
