workstream,primary_platform,primary_model_or_mode,effort,secondary_platform,secondary_model_or_mode,allocation,claim_types,rationale,validation_controls,source_ids,uncertainty
research,ChatGPT,GPT-5.5 High,High,Codex macOS,GPT-5.5 Medium,ChatGPT leads current official-source research and synthesis; Codex is used only when evidence must be grounded in repository files.,User-provided availability; Recommendation,GPT-5.5 is positioned for complex professional work; Codex provides repository-native context.,Official-source-only citations; source registry; explicit unknowns; stop rule.,OAI-01|OAI-02|OAI-05,ChatGPT UI labels are not mapped one-to-one to API reasoning effort.
repository inspection,Codex macOS,GPT-5.5 Medium,Medium; High for large/opaque codebases,ChatGPT,GPT-5.5 High,"Codex inspects files, Git state, architecture, and commands; ChatGPT synthesises independent findings.",Verified capability; Recommendation,"Codex supports Git, parallel threads, worktrees, review, and persistent repository guidance.",Read-only first pass; no edits in inspection thread; cite paths and commands; use AGENTS.md.,OAI-05|OAI-06|OAI-09|OAI-10,Repository size and quality determine whether High is needed.
architecture,ChatGPT,GPT-5.5 High,High,Codex macOS,GPT-5.5 High,ChatGPT owns cross-platform architecture and challenge; Codex validates feasibility against the actual repository.,Recommendation; Inference,Independent reasoning reduces local-code tunnel vision; Codex grounds decisions in implementation reality.,Decision records; alternatives and trade-offs; repository feasibility check; no code until approved.,OAI-01|OAI-05|OAI-10,Final architecture depends on repository evidence not included in this research task.
coding,Codex macOS,GPT-5.5 Medium,Medium default; High for cross-cutting work,Replit Core,Economy or Power,Codex is the default implementation environment; Replit is used for Replit-specific or strongly visual coding loops.,Verified capability; Recommendation,Codex is repository-native; Replit modes trade cost against capability and include visual runtime tools.,"Dedicated branch/worktree; lint, typecheck, tests, build; review pane before merge.",OAI-05|OAI-06|OAI-09|REP-02|REP-06,Exact Replit hidden routing is not fully disclosed.
refactoring,Codex macOS,GPT-5.5 High,High; GPT-5.4 Medium for mechanical changes,Replit Core,Power + High effort only for Replit-context refactors,Use Codex worktrees for structural refactors; use smaller/full older models for mechanical sweeps.,Verified capability; Recommendation,Worktrees isolate parallel changes; High effort is justified for large refactors but should be selective.,Characterisation tests first; dependency graph; small commits; performance and visual regression checks.,OAI-01|OAI-03|OAI-06|REP-02,Refactor complexity cannot be inferred from file count alone.
visual development,Replit Core,Canvas + Visual Editor + Preview; Economy default,Economy; Power + High effort for difficult integration,Codex macOS,GPT-5.5 Medium/High + in-app browser,Use Replit for design exploration and deterministic polish; Codex implements and hardens complex components.,Verified capability; Recommendation,"Canvas, direct visual edits, responsive Preview, and browser feedback shorten visual convergence.",Compare desktop/mobile; preserve design tokens; commit before Agent changes; verify source code after direct edits.,REP-04|REP-05|REP-06|REP-02|OAI-07,Complex Visual Editor requests may route to billable Agent.
browser testing,Codex macOS,GPT-5.5 Medium/High + in-app browser,Medium for smoke tests; High for difficult reproduction,Replit Core,App Testing + Preview,Codex handles unauthenticated reproducible browser checks; Replit tests supported app flows and responsive states.,Verified capability; Recommendation,"Both provide interactive browser validation, but neither alone proves production or authenticated-flow correctness.",Critical-flow checklist; screenshots; manual auth testing; production preview verification; cross-browser spot checks.,OAI-07|REP-06|REP-13|REP-14,Codex in-app browser does not inherit signed-in state; App Testing coverage is not exhaustive.
shaders,Codex macOS,GPT-5.5 High,High; Extra High only for bounded hard failures,Replit Core,Preview for rendered feedback,"Codex owns shader code, performance diagnosis, and fallback logic; Replit may provide visual preview only.",Recommendation,"Shaders combine code, rendering, performance, and browser variability, favouring the strongest repository model.",GPU/CPU fallback; reduced-motion; mobile thermal/performance checks; screenshots and frame-rate profiling.,OAI-01|OAI-07|REP-06,Actual shader stack and target-device constraints are not supplied.
SEO,ChatGPT,GPT-5.5 High,High for strategy/research,Codex macOS,GPT-5.5 Medium,"ChatGPT owns evidence-led SEO strategy and content architecture; Codex implements metadata, schema, internal links, and tests.",Recommendation,Separating research from implementation improves independence and traceability.,Crawl/indexation checklist; metadata uniqueness; schema validation; canonical/robots/sitemap checks; rendered inspection.,OAI-01|OAI-05|OAI-07,Search performance outcomes cannot be guaranteed by implementation alone.
integrations,Codex macOS,GPT-5.5 High,High,Replit Core,Power + High effort for Replit-managed integrations,"Codex handles external APIs, auth, secrets, error handling, and tests; Replit is used where its managed connectors/runtime provide material advantage.",Verified capability; Recommendation,"Integration work is cross-cutting and security-sensitive; Replit supports managed, connector, external, and Agent-service integration categories.",Sandbox credentials; contract tests; retries/timeouts; secret review; rollback plan; human approval for production.,OAI-01|OAI-05|REP-16|REP-10,Connector and provider availability can vary by plan and workspace.
