source_route,source_type,destination_route,anchor_text,placement,purpose,priority,migration_phase,notes
/,global,/services,Services,header,Primary navigation,P0,Phase A,
/,global,/industries,Industries,header,Primary navigation,P0,Phase A,
/,global,/how-we-work,How we work,header,Primary navigation,P0,Phase A,
/,global,/blog,Insights,header,Primary navigation,P0,Phase A,
/,global,/about,About,header,Primary navigation,P0,Phase A,
/,global,/book,Book a discovery call,header,Primary navigation,P0,Phase A,
/about,global,/services,Services,header,Primary navigation,P0,Phase A,
/about,global,/industries,Industries,header,Primary navigation,P0,Phase A,
/about,global,/how-we-work,How we work,header,Primary navigation,P0,Phase A,
/about,global,/blog,Insights,header,Primary navigation,P0,Phase A,
/about,global,/about,About,header,Primary navigation,P0,Phase A,
/about,global,/book,Book a discovery call,header,Primary navigation,P0,Phase A,
/services,global,/services,Services,header,Primary navigation,P0,Phase A,
/services,global,/industries,Industries,header,Primary navigation,P0,Phase A,
/services,global,/how-we-work,How we work,header,Primary navigation,P0,Phase A,
/services,global,/blog,Insights,header,Primary navigation,P0,Phase A,
/services,global,/about,About,header,Primary navigation,P0,Phase A,
/services,global,/book,Book a discovery call,header,Primary navigation,P0,Phase A,
/pricing,global,/services,Services,header,Primary navigation,P0,Phase A,
/pricing,global,/industries,Industries,header,Primary navigation,P0,Phase A,
/pricing,global,/how-we-work,How we work,header,Primary navigation,P0,Phase A,
/pricing,global,/blog,Insights,header,Primary navigation,P0,Phase A,
/pricing,global,/about,About,header,Primary navigation,P0,Phase A,
/pricing,global,/book,Book a discovery call,header,Primary navigation,P0,Phase A,
/blog,global,/services,Services,header,Primary navigation,P0,Phase A,
/blog,global,/industries,Industries,header,Primary navigation,P0,Phase A,
/blog,global,/how-we-work,How we work,header,Primary navigation,P0,Phase A,
/blog,global,/blog,Insights,header,Primary navigation,P0,Phase A,
/blog,global,/about,About,header,Primary navigation,P0,Phase A,
/blog,global,/book,Book a discovery call,header,Primary navigation,P0,Phase A,
/book,global,/services,Services,header,Primary navigation,P0,Phase A,
/book,global,/industries,Industries,header,Primary navigation,P0,Phase A,
/book,global,/how-we-work,How we work,header,Primary navigation,P0,Phase A,
/book,global,/blog,Insights,header,Primary navigation,P0,Phase A,
/book,global,/about,About,header,Primary navigation,P0,Phase A,
/book,global,/book,Book a discovery call,header,Primary navigation,P0,Phase A,
