"claim_id","route_path","source_file","block_order","categories","claim_text","evidence_status","source_evidence","recommended_action"
"claim-c269ec0b9b118162","/","index.html","4","pricing","Start with the page that matches what you need: background, services, pricing, guides, booking, or direct contact.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-c1d2acbe6c4e86f6","/","index.html","7","pricing","03 Pricing Compare flagship packs, industry bundles, and smaller fixes before you book.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-387a258c8ee722ae","/","index.html","9","ranking","05 Book Book a free automation audit when you want the fastest route to a first win.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-1159cad89f6ef281","/","index.html","42","metric","Many small businesses reclaim 8–15 hours per week once key processes are automated.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-9184e079a606ce4c","/","index.html","49","guarantee-or-absolute","Compare every automation pack before you book.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-da3d5a5d622b5ce0","/","index.html","51","pricing","View Full Pricing","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-bb3249d9a73637f0","/","index.html","58","pricing","Most projects start with a one-time setup fee plus monthly support. You can now review representative pricing across flagship packs, industry bundles, and smaller modules on our pricing page, then book an audit for a scoped recommendation.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-2b7dd5b2d900ac66","/","index.html","67","ranking","Book a short audit to see what to fix first and where the fastest ROI sits.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-049d35bacfa824c5","/about","about.html","3","guarantee-or-absolute","Silverstone AI helps UK small businesses run with the clarity, consistency, and commercial control of a much larger team. We design practical automation around the way your people already work, so every workflow feels measured, brand-safe, and immediately useful rather than bolted on for the sake of novelty.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-e9fe32f3d80b575e","/about","about.html","6","guarantee-or-absolute","The principles that guide every project and partnership.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-fe4abb12def519fc","/about","about.html","17","guarantee-or-absolute","Today, we partner closely with clients across industries - from professional services and manufacturing to retail and healthcare - to identify bottlenecks, remove friction and implement smart systems that work seamlessly together. Our bespoke approach ensures that every solution fits your business like a glove, delivering measurable results and empowering your people.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-5c75d4019fa872d8","/services","services.html","1","pricing","Open your industry page, compare the relevant pack, then move into pricing when you want exact numbers.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-7224772e4ef8e47c","/services","services.html","4","pricing","Move from the overview into the right industry page, then into pricing.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-6d3fc9a4abaa8fe6","/services","services.html","8","pricing","03 Pricing Compare the exact module and bundle options in the atlas.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-2782c1ce5221049f","/services","services.html","11","ranking","Each page gives you the most relevant pack, supporting guides, and a short explanation of where automation pays back fastest.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-3837876f9121a8ab","/services","services.html","27","ranking","Choose an industry pack or start with a general automation block. Everything is designed to sit on top of your existing tools - not replace them.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-704872d5ceb23915","/services","services.html","30","guarantee-or-absolute","What every pack includes","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-b2fc0d44a834878e","/services","services.html","31","guarantee-or-absolute","Always-on enquiry capture across web, messaging, and phone where relevant.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
"claim-47386bf21e6de410","/services","services.html","43","ranking","We start with the fastest win, then expand only when it is working.","proof-required","legacy source only","Retain as source copy; verify, qualify or remove during editorial review."
