finding,source_skill,page_or_file,evidence,confidence,severity,recommended_fix,duplicated_by_other_skill,supported_by_primary_docs,could_affect_visuals,final_disposition
Edge Function declared HEAD method rejected by Netlify manifest validator,netlify-build-log,netlify/edge-functions/reject-noncanonical-paths.ts,"Deploy log: ENUM must be equal to one of the allowed values; local netlify-cli bundling reproduced then passed after fix",confirmed,critical,"method: [""GET""]",n/a,yes (Netlify edge manifest enum),no,FIXED (method now GET only; regression test added)
Live production serves SPA soft-404s (unknown URLs return 200 shell),live-HTTP-check,https://silverstone-ai.com/*,curl /no-such-page-xyz -> 200; /industries/dentists -> 200 shell,confirmed,critical,Remove SPA fallback; prerender all routes; genuine 404/410,both systems flag soft-404s,yes (Google soft-404 docs),no,FIXED in undeployed tree (fallback removed; 404.html with 404 status; edge guard)
21 live blog URLs renamed without redirects (old slugs will 404 after deploy),git-history + live sitemap,web/src/data/blog-posts.ts vs 10dcca0a,Live sitemap lists 21 pre-rename slugs; 10dcca0a diff pairs all 21 old->new,confirmed,critical,301 each old slug to its renamed article,n/a,yes (Google site-move guidance),no,FIXED (21 one-hop 301s in url-migration.mts -> _redirects + edge variants)
Legacy /niches/* and /services/<industry> redirects deleted in 318527e2 (indexed URLs would 404),git-history,netlify.toml history,git show 318527e2^:netlify.toml full redirect set; live /niches/dentists still 301s,confirmed,high,Restore one-hop 301s to /industry/<slug>,n/a,yes,no,FIXED (30 mappings incl. trades-virtual-office consolidation)
33 deleted legacy articles blanket-301 to /blog (live) or 404 (tree),git-history,9fcfb1fe^:sitemap.xml,33 article URLs deleted at cutover with no replacements,confirmed,high,Return 410 Gone; never redirect unrelated articles to hub,n/a,yes (Google: 410 for removed content),no,FIXED (45 paths incl. 12 long-form aliases -> 410 via _redirects + edge)
Trailing-slash/.html variants of every route hard-404 in undeployed pass (indexed trailing-slash URLs lose equity),live-HTTP + edge source,reject-noncanonical-paths.ts,Live serves trailing-slash 200s (pretty URLs on); old edge guard 404'd all variants,confirmed,high,301 recognised variants to canonical in one hop; 404 unknown,n/a,yes,no,FIXED (edge normalises + 301s canonical/legacy variants; 404 unknown; 410 gone)
Sitemap lastmod stamped with build date for every URL,generate-seo-artifacts.mjs (old),web/scripts/generate-seo-artifacts.mjs,Old line: lastmod = new Date().toISOString(),confirmed,medium,Use content dates (post published/updated; maintained page dates),claude-seo seo-sitemap validated fix,yes (sitemaps.org lastmod semantics),no,FIXED (page-content-dates.json + post dates; stability unit-tested)
Single flat sitemap; no pages/posts split for daily blog automation,task-requirement + seo-sitemap,web/build/client/sitemap.xml,46-URL flat file,confirmed,low,sitemap.xml index -> sitemap-pages.xml + sitemap-posts.xml,agentic seo-sitemap same,yes (sitemaps.org index),no,FIXED (index + 2 children; build gates)
Sitemap index lastmod pooled max applied to both children,claude-seo seo-sitemap,web/scripts/generate-seo-artifacts.mjs,Agent traced Math.max over pooled entries,confirmed,low,Per-child max,no,yes,no,FIXED
Duplicate title on /industry/dentists and /blog/dental-practice-automation-guide,claude-seo seo-content + own crawl,web/src/data/blog-posts.ts,Both pages: 'Dental Practice Automation UK | Silverstone AI',confirmed,medium,Differentiate article metaTitle,yes (both systems),yes,no,FIXED (article metaTitle now 'Dental Practice Automation: UK Systems Guide | Silverstone AI')
