"route_key","file","group","route","canonical","title","h1","meta_description","word_count","bytes","schema_types","repo_indexable","sitemap_member","live_status","live_final_url","live_h1_count","live_broken_image_count","rendered_horizontal_overflow","internal_inlinks","internal_outlinks","nearest_structure_file","nearest_structure_similarity","parallax","shader","analytics","url_disposition","implementation_disposition","content_disposition","evidence_basis","risk_notes"
"canonical:/","index.html","main","/","https://silverstone-ai.com","Silverstone AI - AI Automation for UK Small Businesses","Silverstone AI for UK Small Businesses — Calls, Bookings & Lead Follow-Up Silverstone AI for UK Small Businesses","Silverstone AI helps UK small businesses automate calls, lead follow-up, bookings, and back-office workflows with practical AI systems.","1233","44886","BreadcrumbList | ContactPoint | ImageObject | ListItem | Organization | PostalAddress | ProfessionalService | WebPage | WebSite","true","yes","200","https://silverstone-ai.com/","1","0","false","50","17","services/fitness-coaches.html","0.805","true","true","true","retain","refactor","rewrite","repository evidence + live HTTP + live browser","6 images lack width/height; quantified or absolute proof claims require substantiation"
"canonical:/about","about.html","main","/about","https://silverstone-ai.com/about","About Us | Silverstone AI","About Silverstone AI","Learn how Silverstone AI helps UK small businesses grow with practical automation, faster response times, and tailored support.","503","23293","AboutPage | BreadcrumbList | ListItem","true","yes","200","https://silverstone-ai.com/about","1","1","false","50","17","services/hospitality.html","0.9085","true","true","true","retain","refactor","retain","repository evidence + live HTTP + live browser","7 images lack width/height"
"canonical:/services","services.html","main","/services","https://silverstone-ai.com/services","AI Automation Services by Industry | Silverstone AI","Silverstone AI services, organised by industry.","Browse Silverstone AI automation services by industry for UK SMEs, from estate agents and hospitality to trades, eCommerce, clinics, dentists, gyms, and coaches.","1622","53056","BreadcrumbList | CollectionPage | ItemList | ListItem","true","yes","200","https://silverstone-ai.com/services","1","0","false","50","50","services/trades.html","0.8271","true","true","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","6 images lack width/height"
"canonical:/pricing","pricing.html","main","/pricing","https://silverstone-ai.com/pricing","AI Automation Pricing | Silverstone AI","Silverstone AI Automation Pricing for UK Small Businesses","Compare AI automation pricing for UK small businesses: Silverstone AI flagship packs, industry-specific modules, and bundle pricing across nine industries.","441","23216","Answer | Audience | BreadcrumbList | FAQPage | ItemList | ListItem | Question | ReserveAction | Service | WebPage","true","yes","200","https://silverstone-ai.com/pricing","1","0","false","50","17","book.html","0.946","true","true","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","2 images lack width/height"
"canonical:/blog","blog.html","main","/blog","https://silverstone-ai.com/blog","AI Automation Guides | Silverstone AI","Silverstone AI guides for small business teams","Read Silverstone AI guides on lead handling, bookings, reminders, and practical automation workflows for UK small businesses.","3993","104096","BreadcrumbList | CollectionPage | ListItem","true","yes","200","https://silverstone-ai.com/blog","1","0","false","50","50","blog/ai-receptionist-small-business-2026.html","0.718","true","true","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","35 images lack width/height"
"canonical:/book","book.html","main","/book","https://silverstone-ai.com/book","Book an Automation Audit | Silverstone AI","Book your Silverstone AI automation audit","Book a free 30-minute automation audit with Silverstone AI to uncover quick wins and plan practical next steps.","408","15444","BreadcrumbList | ListItem | WebPage","true","yes","200","https://silverstone-ai.com/book","1","0","false","50","17","privacy-policy.html","0.9649","true","true","true","retain","rewrite","retain","repository evidence + live HTTP + live browser","2 images lack width/height"
"canonical:/contact","contact.html","main","/contact","https://silverstone-ai.com/contact","Contact Us | Silverstone AI","Contact Silverstone AI","Contact Silverstone AI to discuss automation for your business, request support, or ask about services, pricing, and implementation.","232","15458","BreadcrumbList | ContactPage | ListItem","true","yes","200","https://silverstone-ai.com/contact","1","0","false","50","17","book.html","0.9636","true","true","true","retain","rewrite","retain","repository evidence + live HTTP + live browser","2 images lack width/height"
"canonical:/privacy-policy","privacy-policy.html","legal","/privacy-policy","https://silverstone-ai.com/privacy-policy","Privacy Policy | Silverstone AI","Privacy Policy","Read the Silverstone AI privacy policy to understand how we collect, use, and protect your personal data.","486","14368","","true","yes","200","https://silverstone-ai.com/privacy-policy","1","0","false","50","17","book.html","0.9649","false","true","true","retain","refactor","refactor","repository evidence + live HTTP + live browser","2 images lack width/height; privacy consent statement conflicts with analytics loading before consent"
"canonical:/services/dentists","services/dentists.html","services","/services/dentists","https://silverstone-ai.com/services/dentists","AI Automation for Dentists | Silverstone AI","Dentists: never let recall slip through the cracks.","Silverstone AI helps UK dental practices automate recall, reduce DNAs, and keep treatment books full with practical AI follow-up.","936","35264","Answer | Audience | BreadcrumbList | FAQPage | ListItem | Offer | Question | ReserveAction | Service | WebPage","true","yes","200","https://silverstone-ai.com/services/dentists","1","0","false","50","19","services/physios-chiropractors.html","0.9974","true","true","true","retain","refactor","rewrite","repository evidence + live HTTP + live browser","5 images lack width/height; quantified or absolute proof claims require substantiation"
"canonical:/services/ecommerce","services/ecommerce.html","services","/services/ecommerce","https://silverstone-ai.com/services/ecommerce","AI Automation for eCommerce Brands | Silverstone AI","eCommerce brands: turn more clicks into repeat customers.","Silverstone AI helps UK eCommerce brands automate cart recovery, support, and post-purchase follow-up to increase repeat revenue.","984","35470","Answer | Audience | BreadcrumbList | FAQPage | ListItem | Offer | Question | ReserveAction | Service | WebPage","true","yes","200","https://silverstone-ai.com/services/ecommerce","1","0","false","50","19","services/gyms-fitness-studios.html","0.9961","true","true","true","retain","refactor","rewrite","repository evidence + live HTTP + live browser","5 images lack width/height; quantified or absolute proof claims require substantiation"
