SKU,Is_Bundle,Niche,Product_Name_Internal,Sales_Name_External,Bundle_Components,Deliverables_List,Setup_Fee_GBP,Monthly_Retainer_GBP,Est_Margin_%,Cold_Call_Hook
REA-MISSCALL-01,False,Real Estate,Estate Missed Call Text-Back,Never-Miss-a-Viewing Call Saver,,Virtual number + missed-call capture; SMS/WhatsApp text-back with viewing options; basic lead log.,399,99,75,“Every missed call could be a lost instruction – we text back instantly and book the viewing for you.”
REA-QUALBOT-01,False,Real Estate,Property Lead Qualification Bot,24/7 Property Lead Gatekeeper,,AI chat/DM assistant trained on your listings; qualifies buyers/tenants; captures details and pushes to CRM.,650,149,70,"“Rightmove leads get a response in under 2 minutes, even at 11pm.”"
REA-FOLLOW-01,False,Real Estate,Viewing Follow-Up Automation,Viewing Follow-Up & Nurture,,Automated SMS/email after every viewing; feedback capture; nurture sequences for warm but undecided buyers.,450,79,72,“We automatically chase every viewing so negotiators only call the ones who are still keen.”
REA-LANDLORD-01,False,Real Estate,Landlord Onboarding Workflow,Landlord Onboarding & Compliance Flow,,"Digital forms, ID and AML document collection, onboarding checklist automation.",595,89,68,“We take the faff out of onboarding new landlords so you spend more time winning instructions.”
HOS-GUESTBOT-01,False,Hospitality,Guest Q&A and Booking Bot,24/7 Guest Concierge Bot,,"Web/WhatsApp bot answering FAQs, capturing reservation requests and handing off to booking system.",550,139,70,“Guests get instant answers and bookings even when the phone’s off the hook.”
HOS-REVIEW-01,False,Hospitality,Review Request & Reputation Flow,Review & Reputation Booster,,Automated post-visit review invitations; negative-feedback capture; Google/TripAdvisor review nudges.,320,69,78,“We quietly turn happy guests into five-star reviews without adding work for your staff.”
HOS-NOSHOW-01,False,Hospitality,No-Show & Cancellation Filler,Last-Minute Table Filler,,Automation to contact waitlists or recent enquirers to fill cancelled slots.,375,85,70,"“When someone cancels, we go to your waitlist automatically so the table doesn’t sit empty.”"
HOS-MENU-01,False,Hospitality,Menu & Event Broadcast Automation,Menu & Event Broadcaster,,Simple campaigns to announce new menus or events to opted-in customers.,250,49,65,“Let regulars know about new menus or events without spending hours on Facebook posts.”
SAL-REMIND-01,False,Salons,Appointment Reminder & Confirm,No-Show Saver Reminders,,SMS/WhatsApp reminders with confirm/cancel links; automatic slot release on cancellation.,280,59,75,“Cut your no-shows without spending another evening chasing people yourself.”
SAL-REBOOK-01,False,Salons,Rebooking Nudges,Chair-Filler Rebooking Flow,,Automated follow-up nudges 4–8 weeks after visits with offers to rebook.,260,55,74,“We quietly tap past clients on the shoulder when they’re due back in the chair.”
