record_type,source_content_family,current_or_original_label,recommended_public_name,recommended_route,one_line_definition,map_original_content_from,primary_search_intent,primary_cta,disposition,proof_required
recommended_service,Website Design & Development,Website Design & Development,Web Design & Development,/services/web-design-development,"Conversion-led websites that explain the offer clearly, work across devices and create a practical path from visit to enquiry.",See source-mapping rows below,web design and development for UK small businesses,Book a discovery call,create_service_pillar,"Portfolio, delivery capability and approved examples"
recommended_service,App Development,App Development,Custom App Development,/services/app-development,"Focused web and mobile applications designed around a real operational or customer problem, not a feature wish list.",See source-mapping rows below,custom app development for UK businesses,Book a discovery call,create_service_pillar,"Portfolio, delivery capability and approved examples"
recommended_service,AI Voice Agents,AI Voice Agents,AI Voice Agents,/services/ai-voice-agents,"Conversational phone agents that handle defined call flows, capture information and take approved actions with clear human escalation.",See source-mapping rows below,AI voice agents for UK businesses,Book a discovery call,create_service_pillar,"Portfolio, delivery capability and approved examples"
recommended_service,AI Receptionists,AI Receptionists,AI Receptionists,/services/ai-receptionists,"A practical front-desk layer for common enquiries, message-taking, routing and booking, configured around your operating rules.",See source-mapping rows below,AI receptionist for UK small businesses,Book a discovery call,create_service_pillar,"Portfolio, delivery capability and approved examples"
recommended_service,Content Creation,Content Creation,Content Creation & Repurposing,/services/content-creation,"A governed content system that turns approved expertise into useful website, email and social material without inventing proof.",See source-mapping rows below,content creation and repurposing for UK businesses,Book a discovery call,create_service_pillar,"Portfolio, delivery capability and approved examples"
recommended_service,AI Agents & Automation Workflows,AI Agents & Automation Workflows,AI Automation & Agent Workflows,/services/ai-automation,"Connected workflows and task-focused agents that move information, trigger actions and keep people in control of exceptions.",See source-mapping rows below,AI automation agency UK and AI agent workflows,Book a discovery call,create_service_pillar,"Portfolio, delivery capability and approved examples"
source_mapping,homepage/service-card,AI consulting,AI Automation & Agent Workflows,/services/ai-automation,"Discovery, workflow audit and prioritisation","Discovery, workflow audit and prioritisation",,Book a discovery call,retain intent; rewrite,Claim and provenance review before reuse
source_mapping,homepage/service-card,Marketing automation,AI Automation & Agent Workflows,/services/ai-automation,"Lead capture, nurture, follow-up and approved communications","Lead capture, nurture, follow-up and approved communications",,Book a discovery call,merge,Claim and provenance review before reuse
source_mapping,homepage/service-card,Workflow & data automation,AI Automation & Agent Workflows,/services/ai-automation,"Cross-system routing, document and operational workflows","Cross-system routing, document and operational workflows",,Book a discovery call,merge,Claim and provenance review before reuse
source_mapping,homepage/service-card,Systems & data integration,AI Automation & Agent Workflows,/services/ai-automation,Connected systems and governed handoffs,Connected systems and governed handoffs,,Book a discovery call,merge,Claim and provenance review before reuse
source_mapping,industry pages,Call answering / missed-call capture,AI Voice Agents,/services/ai-voice-agents,"Conversational call flows, capture, routing and escalation","Conversational call flows, capture, routing and escalation",,Book a discovery call,move to service pillar,Claim and provenance review before reuse
source_mapping,industry pages,Front desk / booking assistant,AI Receptionists,/services/ai-receptionists,"FAQ, message-taking, booking and routing","FAQ, message-taking, booking and routing",,Book a discovery call,move to service pillar,Claim and provenance review before reuse
source_mapping,blog cluster,AI receptionist articles,AI Receptionists,/services/ai-receptionists,Educational support for the receptionist pillar,Educational support for the receptionist pillar,,Book a discovery call,link; do not duplicate,Claim and provenance review before reuse
source_mapping,blog cluster,AI voice agent articles,AI Voice Agents,/services/ai-voice-agents,Educational support for the voice-agent pillar,Educational support for the voice-agent pillar,,Book a discovery call,link; do not duplicate,Claim and provenance review before reuse
source_mapping,homepage and blog,Website tools / lead capture,Web Design & Development,/services/web-design-development,"Website, landing-page, conversion and technical SEO work","Website, landing-page, conversion and technical SEO work",,Book a discovery call,expand into service,Claim and provenance review before reuse
source_mapping,industry pages,Branded app / portal references,Custom App Development,/services/app-development,Focused customer or staff applications,Focused customer or staff applications,,Book a discovery call,expand into service,Claim and provenance review before reuse
source_mapping,blog and marketing content,Content scheduling / content generation,Content Creation & Repurposing,/services/content-creation,Source-led editorial production and reuse,Source-led editorial production and reuse,,Book a discovery call,expand into service,Claim and provenance review before reuse
source_mapping,pricing modules,Industry packs and modules,Relevant service pillar,,"Map deliverables to service, not industry navigation","Map deliverables to service, not industry navigation",,Book a discovery call,quarantine pricing pending H-03,Claim and provenance review before reuse
