"route_key","record_type","source_path","target_path","status","force","definition_count","canonical_file","canonical_url","in_sitemap","live_status","live_location","chain_result","disposition","evidence_basis","notes"
"canonical:/","canonical","/","/","200","","1","index.html","https://silverstone-ai.com","yes","200","https://silverstone-ai.com/","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/about","canonical","/about","/about","200","","1","about.html","https://silverstone-ai.com/about","yes","200","https://silverstone-ai.com/about","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services","canonical","/services","/services","200","","1","services.html","https://silverstone-ai.com/services","yes","200","https://silverstone-ai.com/services","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/pricing","canonical","/pricing","/pricing","200","","1","pricing.html","https://silverstone-ai.com/pricing","yes","200","https://silverstone-ai.com/pricing","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/blog","canonical","/blog","/blog","200","","1","blog.html","https://silverstone-ai.com/blog","yes","200","https://silverstone-ai.com/blog","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/book","canonical","/book","/book","200","","1","book.html","https://silverstone-ai.com/book","yes","200","https://silverstone-ai.com/book","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/contact","canonical","/contact","/contact","200","","1","contact.html","https://silverstone-ai.com/contact","yes","200","https://silverstone-ai.com/contact","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/privacy-policy","canonical","/privacy-policy","/privacy-policy","200","","1","privacy-policy.html","https://silverstone-ai.com/privacy-policy","yes","200","https://silverstone-ai.com/privacy-policy","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/dentists","canonical","/services/dentists","/services/dentists","200","","1","services/dentists.html","https://silverstone-ai.com/services/dentists","yes","200","https://silverstone-ai.com/services/dentists","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/ecommerce","canonical","/services/ecommerce","/services/ecommerce","200","","1","services/ecommerce.html","https://silverstone-ai.com/services/ecommerce","yes","200","https://silverstone-ai.com/services/ecommerce","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/estate-agents","canonical","/services/estate-agents","/services/estate-agents","200","","1","services/estate-agents.html","https://silverstone-ai.com/services/estate-agents","yes","200","https://silverstone-ai.com/services/estate-agents","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/fitness-coaches","canonical","/services/fitness-coaches","/services/fitness-coaches","200","","1","services/fitness-coaches.html","https://silverstone-ai.com/services/fitness-coaches","yes","200","https://silverstone-ai.com/services/fitness-coaches","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/gyms-fitness-studios","canonical","/services/gyms-fitness-studios","/services/gyms-fitness-studios","200","","1","services/gyms-fitness-studios.html","https://silverstone-ai.com/services/gyms-fitness-studios","yes","200","https://silverstone-ai.com/services/gyms-fitness-studios","canonical 200","retain","repository evidence + live HTTP",""
"canonical:/services/hospitality","canonical","/services/hospitality","/services/hospitality","200","","1","services/hospitality.html","https://silverstone-ai.com/services/hospitality","yes","200","https://silverstone-ai.com/services/hospitality","canonical 200","retain","repository evidence + live HTTP",""
