finding_id,priority,severity,category,route_scope,evidence_label,finding,evidence_citations,impact_inference,recommendation,acceptance_criteria,downstream_consumers,authority_status
F-001,P0,Critical,Claims,Home + all industry routes,Verified observation,Precise outcome figures appear without visible claim-level attribution.,[L-HOME; L-DENTISTS; L-ECOMMERCE; L-ESTATE; L-FITNESS; L-GYMS; L-HOSPITALITY; L-PHYSIO; L-SALONS; L-TRADES],"Trust, regulatory and sales-friction risk; figures may be interpreted as guaranteed or measured results.","Create a claim ledger; substantiate, qualify as illustrative, or remove every exact outcome number.","Every published number has owner, source, date, method, applicability and approved wording.","C-01,H-01",Independent advisory
F-002,P0,High,Consent/privacy,Site-wide analytics and privacy policy,Repository evidence,A-01 found analytics loading before consent while the privacy policy says non-essential cookies are set only after consent.,[A01-AUDIT; L-PRIVACY],Policy and implementation may be inconsistent.,Coordinate consent behaviour and policy wording; block non-essential analytics until the required consent state.,Fresh browser test shows no non-essential request before consent and policy text matches behaviour.,"C-01,H-01",A-01 repository evidence + live policy
F-003,P1,High,Routing,/blog/ai-lead-capture-trades-uk-2026,Verified observation,"The formerly looping route now loads, but uses a legacy navigation shell.",[B-LEAD-A; A01-DIFF; L-HOME],"A fixed URL can still create inconsistent UX, linking and component governance.",Move the route into the shared shell and retain or redirect it only after the overlap decision.,"Terminal response, current navigation/footer/consent/schema, and approved canonical behaviour.","C-01,H-01",Current live + A-01 reconciliation
F-004,P1,High,Content architecture,Two trades lead-capture articles and broader overlap group,Verified observation,Two live articles target substantially overlapping UK trades lead-capture intent.,[B-LEAD-A; B-LEAD-B; A01-AUDIT],Editorial redundancy and possible intent competition; ranking impact is not established.,"Select one intent owner; merge/redirect or differentiate audience, stage, examples and links.","Each retained URL has unique query intent, outline, CTA and internal-link role.",C-01,Independent advisory
F-005,P1,High,Accessibility,All templates,Repository evidence,A-01 found no main landmark and no skip link.,[A01-AUDIT; W-BYPASS],Repeated blocks may be costly to traverse for keyboard and assistive-technology users.,Add one main landmark and a visible-on-focus skip link.,Keyboard testing confirms the skip link moves focus to the main content on every template.,H-01,A-01 evidence + official standard
F-006,P1,High,Accessibility,Mobile navigation,Repository evidence,The mobile menu trigger was a focusable div with click-only behaviour.,[A01-AUDIT; W-KEYBOARD],Control may not be operable or announced correctly.,"Use a native button with state, relationship, keyboard and focus management.","Menu can be opened, traversed and closed by keyboard and screen reader.",H-01,A-01 evidence + official standard
F-007,P1,High,Accessibility,FAQ components,Repository evidence,FAQ summaries removed default outline without an equivalent focus style.,[A01-AUDIT; W-FOCUS],Keyboard focus may be visually lost.,Provide a persistent high-contrast focus indicator.,All FAQ controls pass keyboard focus review at common zoom levels.,H-01,A-01 evidence + official standard
F-008,P1,High,Conversion,Home,Verified observation,The H1 repeats the main brand/audience phrase and the first screen serves a broad three-problem proposition.,[L-HOME],Message hierarchy is diluted.,"Use one outcome, one mechanism and one primary CTA.","Five-second comprehension testing identifies audience, problem, offer and next action.",C-01,Current live observation
F-009,P1,High,Trust,About + commercial pages,Verified observation,"The about page lacks named accountability, verifiable case studies, client proof and independent credentials.",[L-ABOUT; L-PRICING; L-BOOK],High-consideration buyers receive limited evidence of delivery capability.,"Publish only verifiable identity, case, process and data-handling proof.","Every trust item is attributable, permissioned and current.",C-01,Current live observation
F-010,P1,High,Pricing,/pricing,Verified observation,"Delivery-time, ROI and payback language is not visibly qualified by dependencies or evidence.",[L-PRICING],Commercial expectations may be overstated or ambiguous.,"Add assumptions, dependencies, ranges, inclusions, exclusions and illustrative labelling.","Pricing copy distinguishes commitments, typical ranges and scenarios.",C-01,Current live observation
