"route_id","legacy_route_key","path","route_group","template","lifecycle","canonical","title","description","h1","heading_plan_status","production_indexable","sitemap","source_file","content_id","content_status","claims_status","unresolved_notes"
"route-home","canonical:/","/","company","core-marketing","retained","https://silverstone-ai.com/","Silverstone AI - AI Automation for UK Small Businesses","Silverstone AI helps UK small businesses automate calls, lead follow-up, bookings, and back-office workflows with practical AI systems.","Silverstone AI for UK Small Businesses — Calls, Bookings & Lead Follow-Up Silverstone AI for UK Small Businesses","pending content migration","true","true","index.html","content-home","rewrite","evidence-pending",""
"route-about","canonical:/about","/about","company","core-marketing","retained","https://silverstone-ai.com/about","About Us | Silverstone AI","Learn how Silverstone AI helps UK small businesses grow with practical automation, faster response times, and tailored support.","About Silverstone AI","pending content migration","true","true","about.html","content-about","retain","review-pending",""
"route-services","canonical:/services","/services","services","service","retained","https://silverstone-ai.com/services","AI Automation Services by Industry | Silverstone AI","Browse Silverstone AI automation services by industry for UK SMEs, from estate agents and hospitality to trades, eCommerce, clinics, dentists, gyms, and coaches.","Silverstone AI services, organised by industry.","pending content migration","true","true","services.html","content-services","refactor","review-pending",""
"route-pricing","canonical:/pricing","/pricing","conversion","core-marketing","retained","https://silverstone-ai.com/pricing","AI Automation Pricing | Silverstone AI","Compare AI automation pricing for UK small businesses: Silverstone AI flagship packs, industry-specific modules, and bundle pricing across nine industries.","Silverstone AI Automation Pricing for UK Small Businesses","pending content migration","true","true","pricing.html","content-pricing","refactor","review-pending",""
"route-blog","canonical:/blog","/blog","blog","core-marketing","retained","https://silverstone-ai.com/blog","AI Automation Guides | Silverstone AI","Read Silverstone AI guides on lead handling, bookings, reminders, and practical automation workflows for UK small businesses.","Silverstone AI guides for small business teams","pending content migration","true","true","blog.html","content-blog","refactor","review-pending",""
"route-book","canonical:/book","/book","conversion","core-marketing","retained","https://silverstone-ai.com/book","Book an Automation Audit | Silverstone AI","Book a free 30-minute automation audit with Silverstone AI to uncover quick wins and plan practical next steps.","Book your Silverstone AI automation audit","pending content migration","true","true","book.html","content-book","retain","review-pending",""
"route-contact","canonical:/contact","/contact","conversion","core-marketing","retained","https://silverstone-ai.com/contact","Contact Us | Silverstone AI","Contact Silverstone AI to discuss automation for your business, request support, or ask about services, pricing, and implementation.","Contact Silverstone AI","pending content migration","true","true","contact.html","content-contact","retain","review-pending",""
"route-privacy-policy","canonical:/privacy-policy","/privacy-policy","legal","core-marketing","retained","https://silverstone-ai.com/privacy-policy","Privacy Policy | Silverstone AI","Read the Silverstone AI privacy policy to understand how we collect, use, and protect your personal data.","Privacy Policy","pending content migration","true","true","privacy-policy.html","content-privacy-policy","refactor","review-pending",""
"route-services-dentists","canonical:/services/dentists","/services/dentists","industries","industry","retained","https://silverstone-ai.com/services/dentists","AI Automation for Dentists | Silverstone AI","Silverstone AI helps UK dental practices automate recall, reduce DNAs, and keep treatment books full with practical AI follow-up.","Dentists: never let recall slip through the cracks.","pending content migration","true","true","services/dentists.html","content-services-dentists","rewrite","evidence-pending",""
"route-services-ecommerce","canonical:/services/ecommerce","/services/ecommerce","industries","industry","retained","https://silverstone-ai.com/services/ecommerce","AI Automation for eCommerce Brands | Silverstone AI","Silverstone AI helps UK eCommerce brands automate cart recovery, support, and post-purchase follow-up to increase repeat revenue.","eCommerce brands: turn more clicks into repeat customers.","pending content migration","true","true","services/ecommerce.html","content-services-ecommerce","rewrite","evidence-pending",""
"route-services-estate-agents","canonical:/services/estate-agents","/services/estate-agents","industries","industry","retained","https://silverstone-ai.com/services/estate-agents","AI Automation for Estate Agents | Silverstone AI","Silverstone AI helps UK estate agents automate lead capture, viewing follow-up, and landlord workflows so instructions move faster.","Estate agents: never miss a viewing or instruction again.","pending content migration","true","true","services/estate-agents.html","content-services-estate-agents","rewrite","evidence-pending",""
"route-services-fitness-coaches","canonical:/services/fitness-coaches","/services/fitness-coaches","industries","industry","retained","https://silverstone-ai.com/services/fitness-coaches","AI Automation for Fitness Coaches | Silverstone AI","Silverstone AI helps UK fitness coaches automate DMs, lead follow-up, and onboarding so more conversations turn into paid clients.","Fitness coaches: turn DMs into paying clients on autopilot.","pending content migration","true","true","services/fitness-coaches.html","content-services-fitness-coaches","rewrite","evidence-pending",""
"route-services-gyms-fitness-studios","canonical:/services/gyms-fitness-studios","/services/gyms-fitness-studios","industries","industry","retained","https://silverstone-ai.com/services/gyms-fitness-studios","AI Automation for Gyms & Fitness Studios | Silverstone AI","Silverstone AI helps UK gyms and studios automate member reactivation, trial follow-up, and booking journeys to improve retention.","Gyms & fitness studios: win back more members without extra ads.","pending content migration","true","true","services/gyms-fitness-studios.html","content-services-gyms-fitness-studios","rewrite","evidence-pending",""
"route-services-hospitality","canonical:/services/hospitality","/services/hospitality","industries","industry","retained","https://silverstone-ai.com/services/hospitality","AI Automation for Hospitality | Silverstone AI","Silverstone AI helps UK hospitality teams automate bookings, guest follow-up, and concierge enquiries to capture more revenue.","Hospitality: a guest concierge that never sleeps.","pending content migration","true","true","services/hospitality.html","content-services-hospitality","rewrite","evidence-pending",""
"route-services-physios-chiropractors","canonical:/services/physios-chiropractors","/services/physios-chiropractors","industries","industry","retained","https://silverstone-ai.com/services/physios-chiropractors","AI Automation for Physios & Chiropractors | Silverstone AI","Silverstone AI helps UK physio and chiropractic clinics automate intake, reminders, and rebooking to keep patients on plan.","Physios & chiropractors: keep diaries full and patients on plan.","pending content migration","true","true","services/physios-chiropractors.html","content-services-physios-chiropractors","rewrite","evidence-pending",""
"route-services-salons-barbers","canonical:/services/salons-barbers","/services/salons-barbers","industries","industry","retained","https://silverstone-ai.com/services/salons-barbers","AI Automation for Salons & Barbers | Silverstone AI","Silverstone AI helps UK salons and barbers automate rebooking, reminders, and review follow-up to keep chairs fuller.","Salons & barbers: fill more chairs automatically.","pending content migration","true","true","services/salons-barbers.html","content-services-salons-barbers","rewrite","evidence-pending",""
"route-services-trades","canonical:/services/trades","/services/trades","industries","industry","retained","https://silverstone-ai.com/services/trades","AI Automation for Trades | Silverstone AI","Silverstone AI helps UK trades businesses automate missed-call capture, quote follow-up, and scheduling so fewer jobs go cold.","Trades: never let the good jobs go to voicemail.","pending content migration","true","true","services/trades.html","content-services-trades","rewrite","evidence-pending",""
"route-blog-ai-appointment-reminders-uk-2026","canonical:/blog/ai-appointment-reminders-uk-2026","/blog/ai-appointment-reminders-uk-2026","blog","article","retained","https://silverstone-ai.com/blog/ai-appointment-reminders-uk-2026","AI Appointment Reminders for UK SMEs | Silverstone AI","AI appointment reminders help UK small businesses reduce no-shows, refill cancelled slots faster, and recover revenue without adding more manual admin.","AI Appointment Reminders for UK Small Businesses: Cut No-Shows and Recover Lost Revenue in 2026","pending content migration","true","true","blog/ai-appointment-reminders-uk-2026.html","content-blog-ai-appointment-reminders-uk-2026","refactor","review-pending",""
