card_id,path,status,root_cause_groups,themes,live_http,live_metadesc_present,live_metadesc_len,live_h1_count_raw_html,live_main_chars,live_canonical_selfref,live_robots,live_ld_types,live_title_len
1,/,confirmed-scanner,RC-07|RC-08,READABILITY|CONTRAST,200,True,132,1,10679,True,"index, follow",BreadcrumbList|ImageObject|ListItem|Organization|PostalAddress|WebPage|WebSite,64
1,/services/ai-receptionists,confirmed-scanner,RC-07|RC-08,READABILITY|CONTRAST,200,True,152,1,6632,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,44
2,/,obsolete-advice,RC-05|RC-07,FAQ|INTERNAL_LINK,200,True,132,1,10679,True,"index, follow",BreadcrumbList|ImageObject|ListItem|Organization|PostalAddress|WebPage|WebSite,64
2,/services/ai-receptionists,obsolete-advice,RC-05|RC-07,FAQ|INTERNAL_LINK,200,True,152,1,6632,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,44
2,/services/ai-voice-agents,obsolete-advice,RC-05|RC-07,FAQ|INTERNAL_LINK,200,True,165,1,5217,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
4,/services/ai-voice-agents,obsolete-advice,RC-01|RC-02|RC-05|RC-07,META_DESC|SCHEMA|FAQ|THIN|CITATION|VALUEPROP,200,True,165,1,5217,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
5,/services/ai-voice-agents,recommendation-only,RC-01|RC-07,META_DESC|THIN|TLDR,200,True,165,1,5217,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,46
6,/blog/salon-automation-salons-barbers-first-should,obsolete-advice,RC-01|RC-02|RC-05|RC-07,META_DESC|SCHEMA|FAQ|TLDR,200,True,123,1,10391,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,48
7,/blog/gym-automation-operating-model,confirmed-runtime,RC-01|RC-03|RC-04,META_DESC|H1_DUPLICATE|COOKIE_H1,200,True,154,1,11331,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,57
8,/blog/hospitality-automation-smes-build-first,confirmed-3p-mutation,RC-02|RC-03|RC-04|RC-06,H1_DUPLICATE|SCHEMA|DATES|COOKIE_H1|TITLE_TAG,200,True,163,1,11735,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,55
9,/blog/small-business-web-development,unverified,RC-08,PERF,200,True,157,1,11291,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,48
10,/blog/trades-websites-ai-automation,confirmed-3p-mutation,RC-02|RC-03|RC-04|RC-05|RC-06,H1_DUPLICATE|SCHEMA|FAQ|DATES|COOKIE_H1|TITLE_TAG,200,True,151,1,11405,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,52
11,/blog/hospitality-automation-smes-build-first,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|H1_DUPLICATE|THIN|CITATION|VALUEPROP,200,True,163,1,11735,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,55
12,/blog/small-business-web-development,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ|DATES,200,True,157,1,11291,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,48
13,/blog/gym-automation-operating-model,refuted-live,RC-02,SCHEMA|DATES,200,True,154,1,11331,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,57
14,/blog/gym-membership-freeze-automation-myths,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|H1_DUPLICATE|CITATION,200,True,136,1,12985,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,39
15,/blog/small-business-web-development,confirmed-3p-mutation,RC-04|RC-06|RC-07,H1_DUPLICATE|HEADING_GENERIC|READABILITY|TITLE_TAG,200,True,157,1,11291,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,48
16,/blog/gym-automation-operating-model,confirmed-3p-mutation,RC-01|RC-04|RC-06,META_DESC|H1_DUPLICATE|HEADING_GENERIC|TITLE_TAG,200,True,154,1,11331,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,57
17,/blog/hospitality-automation-smes-build-first,confirmed-runtime,RC-01|RC-04,META_DESC|H1_DUPLICATE,200,True,163,1,11735,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,55
18,/blog/hospitality-automation-smes-build-first,confirmed-3p-mutation,RC-01|RC-02|RC-04|RC-05|RC-06,META_DESC|H1_DUPLICATE|SCHEMA|FAQ|DATES|TITLE_TAG,200,True,163,1,11735,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,55
19,/blog/gym-membership-freeze-automation-myths,confirmed-runtime,RC-02|RC-04|RC-05,H1_DUPLICATE|SCHEMA|FAQ|DATES,200,True,136,1,12985,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,39
20,/blog/content-creation-system-should-build-not,confirmed-runtime,RC-01|RC-03|RC-04,META_DESC|H1_DUPLICATE|COOKIE_H1,200,True,148,1,10711,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,56
21,/blog/bespoke-app-development-guide,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ|DATES,200,True,139,1,9209,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,47
22,/blog/content-creation-system-should-build-not,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ|DATES,200,True,148,1,10711,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,56
23,/blog/gym-membership-freeze-automation-myths,confirmed-runtime,RC-04,H1_DUPLICATE|HEADING_GENERIC,200,True,136,1,12985,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,39
24,/blog/content-creation-system-should-build-not,confirmed-runtime,RC-04,H1_DUPLICATE|HEADING_GENERIC,200,True,148,1,10711,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,56
25,/blog/ai-voice-agent-out-of-hours,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|H1_DUPLICATE|THIN|CITATION,200,True,144,1,13746,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,47
26,/blog/bespoke-app-development-guide,recommendation-only,RC-07,READABILITY|CITATION|TABLE,200,True,139,1,9209,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,47
27,/blog/conversion-focused-website-planning,refuted-live,RC-01|RC-02,META_DESC|SCHEMA|DATES,200,True,159,1,9819,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,53
28,/blog/ai-voice-agent-out-of-hours,recommendation-only,RC-07,OTHER,200,True,144,1,13746,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,47
29,/blog/bespoke-app-development-guide,confirmed-runtime,RC-01|RC-03|RC-04,META_DESC|H1_DUPLICATE|HEADING_GENERIC|COOKIE_H1,200,True,139,1,9209,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,47
30,/blog/bespoke-app-development-guide,confirmed-3p-mutation,RC-01|RC-04|RC-06|RC-07,META_DESC|H1_DUPLICATE|READABILITY|TITLE_TAG|VALUEPROP,200,True,139,1,9209,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,47
31,/blog/conversion-focused-website-planning,confirmed-3p-mutation,RC-04|RC-06,H1_DUPLICATE|TITLE_TAG,200,True,159,1,9819,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,53
32,/blog/ai-voice-agent-out-of-hours,confirmed-3p-mutation,RC-04|RC-06,H1_DUPLICATE|HEADING_GENERIC|TITLE_TAG,200,True,144,1,13746,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,47
33,/blog/ai-voice-agent-development,recommendation-only,RC-07,CITATION,200,True,136,1,13695,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,44
34,/blog/conversion-focused-website-planning,recommendation-only,RC-01|RC-07,THIN|READABILITY,200,True,159,1,9819,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,53
35,/blog/ai-voice-agent-development,confirmed-3p-mutation,RC-02|RC-03|RC-04|RC-06,H1_DUPLICATE|SCHEMA|DATES|COOKIE_H1|TITLE_TAG,200,True,136,1,13695,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,44
36,/blog/ai-automation-consulting-smarter-operating-system,confirmed-runtime,RC-01|RC-03|RC-04|RC-07,META_DESC|H1_DUPLICATE|CITATION|COOKIE_H1,200,True,133,1,11083,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,59
37,/blog/ai-voice-agent-development,recommendation-only,RC-07,CITATION|TABLE,200,True,136,1,13695,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,44
38,/blog/ai-trades-operating-system-websites-automation,recommendation-only,RC-07,CITATION,200,True,159,1,9720,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,49
39,/blog/ai-receptionist-small-business-guide,confirmed-3p-mutation,RC-01|RC-03|RC-04|RC-06|RC-07,META_DESC|H1_DUPLICATE|CITATION|COOKIE_H1|TITLE_TAG,200,True,138,1,11989,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,56
40,/blog/ai-voice-agent-development,confirmed-3p-mutation,RC-04|RC-06,H1_DUPLICATE|HEADING_GENERIC|TITLE_TAG,200,True,136,1,13695,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,44
41,/blog/ai-automation-consulting-smarter-operating-system,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ|DATES,200,True,133,1,11083,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,59
42,/blog/ai-trades-operating-system-websites-automation,obsolete-advice,RC-02|RC-05,SCHEMA|FAQ,200,True,159,1,9720,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,49
43,/services/app-development,recommendation-only,RC-01|RC-07,META_DESC|TABLE,200,True,167,1,4231,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,43
44,/blog/ai-trades-operating-system-websites-automation,confirmed-runtime,RC-03|RC-04,H1_DUPLICATE|HEADING_GENERIC|COOKIE_H1,200,True,159,1,9720,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,49
45,/blog/ai-automation-consulting-smarter-operating-system,confirmed-runtime,RC-01|RC-03|RC-04,META_DESC|H1_DUPLICATE|HEADING_GENERIC|COOKIE_H1,200,True,133,1,11083,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,59
46,/blog/ai-receptionist-small-business-guide,obsolete-advice,RC-01|RC-02|RC-05,META_DESC|SCHEMA|FAQ|DATES,200,True,138,1,11989,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,56
47,/services/app-development,confirmed-runtime,RC-01|RC-02|RC-04,META_DESC|H1_DUPLICATE|HEADING_GENERIC|SCHEMA,200,True,167,1,4231,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,43
48,/blog/ai-automation-consulting-smarter-operating-system,confirmed-runtime,RC-01|RC-04|RC-07,META_DESC|H1_DUPLICATE|READABILITY|TABLE|VALUEPROP,200,True,133,1,11083,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,59
49,/services/content-creation,recommendation-only,RC-01|RC-07,META_DESC|CITATION|TABLE,200,True,155,1,4200,True,"index, follow",BreadcrumbList|BusinessAudience|Country|ListItem|Organization|Service,52
50,/blog/ai-receptionist-setup-guide,confirmed-runtime,RC-02|RC-03|RC-04,H1_DUPLICATE|DATES|COOKIE_H1,200,True,145,1,11032,True,"index, follow",BlogPosting|BreadcrumbList|ImageObject|ListItem|Organization,49
